Date : 2024-01-14 12:24:51
Directory : c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System
Total : 423 files,  17805 codes, 6785 comments, 3337 blanks, all 27927 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        207 |      9,910 |      5,601 |      2,248 |     17,759 |
| JavaScript      |         64 |      3,988 |        621 |        378 |      4,987 |
| XML             |        104 |      1,054 |         95 |         92 |      1,241 |
| SCSS            |          9 |        699 |         32 |        144 |        875 |
| SQL             |          2 |        618 |        180 |         57 |        855 |
| YAML            |          6 |        320 |        160 |         41 |        521 |
| Python          |          3 |        259 |         40 |         63 |        362 |
| HTML            |          7 |        238 |          1 |         20 |        259 |
| Markdown        |          7 |        235 |          0 |         99 |        334 |
| CSS             |          8 |        209 |         14 |        148 |        371 |
| Shell Script    |          1 |        112 |         27 |         21 |        160 |
| JSON            |          1 |         96 |          0 |          1 |         97 |
| Properties      |          1 |         34 |         10 |         12 |         56 |
| Java Properties |          2 |         25 |          4 |         12 |         41 |
| Docker          |          1 |          8 |          0 |          1 |          9 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                             |        423 |     17,805 |      6,785 |      3,337 |     27,927 |
| .idea                                                                                                                                                                         |          7 |         51 |          0 |          0 |         51 |
| .idea (Files)                                                                                                                                                                 |          5 |         31 |          0 |          0 |         31 |
| .idea\inspectionProfiles                                                                                                                                                      |          2 |         20 |          0 |          0 |         20 |
| Expert_System                                                                                                                                                                 |        230 |     11,785 |      6,064 |      2,545 |     20,394 |
| Expert_System (Files)                                                                                                                                                         |          6 |        497 |         63 |         94 |        654 |
| Expert_System\.github                                                                                                                                                         |          3 |         22 |          0 |         36 |         58 |
| Expert_System\.github\ISSUE_TEMPLATE                                                                                                                                          |          3 |         22 |          0 |         36 |         58 |
| Expert_System\smpe-common                                                                                                                                                     |         62 |      2,959 |      2,039 |        677 |      5,675 |
| Expert_System\smpe-common (Files)                                                                                                                                             |          1 |        126 |         25 |         23 |        174 |
| Expert_System\smpe-common\src                                                                                                                                                 |         61 |      2,833 |      2,014 |        654 |      5,501 |
| Expert_System\smpe-common\src\main                                                                                                                                            |         61 |      2,833 |      2,014 |        654 |      5,501 |
| Expert_System\smpe-common\src\main\java                                                                                                                                       |         61 |      2,833 |      2,014 |        654 |      5,501 |
| Expert_System\smpe-common\src\main\java\marchsoft                                                                                                                             |         61 |      2,833 |      2,014 |        654 |      5,501 |
| Expert_System\smpe-common\src\main\java\marchsoft\annotation                                                                                                                  |          8 |        151 |        131 |         74 |        356 |
| Expert_System\smpe-common\src\main\java\marchsoft\annotation (Files)                                                                                                          |          4 |         43 |         42 |         26 |        111 |
| Expert_System\smpe-common\src\main\java\marchsoft\annotation\rest                                                                                                             |          4 |        108 |         89 |         48 |        245 |
| Expert_System\smpe-common\src\main\java\marchsoft\aspect                                                                                                                      |          3 |        208 |         67 |         23 |        298 |
| Expert_System\smpe-common\src\main\java\marchsoft\base                                                                                                                        |          7 |        158 |        158 |         62 |        378 |
| Expert_System\smpe-common\src\main\java\marchsoft\config                                                                                                                      |         15 |        730 |        282 |        148 |      1,160 |
| Expert_System\smpe-common\src\main\java\marchsoft\config (Files)                                                                                                              |          5 |        339 |        112 |         59 |        510 |
| Expert_System\smpe-common\src\main\java\marchsoft\config\bean                                                                                                                 |          4 |         52 |         35 |         28 |        115 |
| Expert_System\smpe-common\src\main\java\marchsoft\config\mybatisplus                                                                                                          |          4 |        272 |         96 |         44 |        412 |
| Expert_System\smpe-common\src\main\java\marchsoft\config\thread                                                                                                               |          2 |         67 |         39 |         17 |        123 |
| Expert_System\smpe-common\src\main\java\marchsoft\enums                                                                                                                       |          5 |        123 |        104 |         55 |        282 |
| Expert_System\smpe-common\src\main\java\marchsoft\exception                                                                                                                   |          2 |         63 |         46 |         18 |        127 |
| Expert_System\smpe-common\src\main\java\marchsoft\exception (Files)                                                                                                           |          1 |         19 |          6 |          9 |         34 |
| Expert_System\smpe-common\src\main\java\marchsoft\exception\handler                                                                                                           |          1 |         44 |         40 |          9 |         93 |
| Expert_System\smpe-common\src\main\java\marchsoft\injector                                                                                                                    |          2 |         54 |         40 |         14 |        108 |
| Expert_System\smpe-common\src\main\java\marchsoft\injector (Files)                                                                                                            |          1 |         13 |         12 |          6 |         31 |
| Expert_System\smpe-common\src\main\java\marchsoft\injector\method                                                                                                             |          1 |         41 |         28 |          8 |         77 |
| Expert_System\smpe-common\src\main\java\marchsoft\response                                                                                                                    |          1 |         26 |         54 |         14 |         94 |
| Expert_System\smpe-common\src\main\java\marchsoft\utils                                                                                                                       |         18 |      1,320 |      1,132 |        246 |      2,698 |
| Expert_System\smpe-log                                                                                                                                                        |         14 |        542 |        287 |        134 |        963 |
| Expert_System\smpe-log (Files)                                                                                                                                                |          1 |         22 |          0 |          6 |         28 |
| Expert_System\smpe-log\src                                                                                                                                                    |         13 |        520 |        287 |        128 |        935 |
| Expert_System\smpe-log\src\main                                                                                                                                               |         13 |        520 |        287 |        128 |        935 |
| Expert_System\smpe-log\src\main\java                                                                                                                                          |         13 |        520 |        287 |        128 |        935 |
| Expert_System\smpe-log\src\main\java\marchsoft                                                                                                                                |         13 |        520 |        287 |        128 |        935 |
| Expert_System\smpe-log\src\main\java\marchsoft\annotation                                                                                                                     |          1 |         10 |          6 |          3 |         19 |
| Expert_System\smpe-log\src\main\java\marchsoft\aspect                                                                                                                         |          1 |         68 |         41 |         12 |        121 |
| Expert_System\smpe-log\src\main\java\marchsoft\config                                                                                                                         |          1 |         10 |          4 |          3 |         17 |
| Expert_System\smpe-log\src\main\java\marchsoft\controller                                                                                                                     |          1 |        106 |          8 |         13 |        127 |
| Expert_System\smpe-log\src\main\java\marchsoft\entity                                                                                                                         |          4 |         87 |         26 |         47 |        160 |
| Expert_System\smpe-log\src\main\java\marchsoft\entity (Files)                                                                                                                 |          1 |         46 |          8 |         18 |         72 |
| Expert_System\smpe-log\src\main\java\marchsoft\entity\bo                                                                                                                      |          1 |         13 |          4 |          4 |         21 |
| Expert_System\smpe-log\src\main\java\marchsoft\entity\dto                                                                                                                     |          2 |         28 |         14 |         25 |         67 |
| Expert_System\smpe-log\src\main\java\marchsoft\enums                                                                                                                          |          1 |         16 |          9 |          8 |         33 |
| Expert_System\smpe-log\src\main\java\marchsoft\mapper                                                                                                                         |          1 |         38 |         41 |          9 |         88 |
| Expert_System\smpe-log\src\main\java\marchsoft\service                                                                                                                        |          3 |        185 |        152 |         33 |        370 |
| Expert_System\smpe-log\src\main\java\marchsoft\service (Files)                                                                                                                |          1 |         21 |         63 |         11 |         95 |
| Expert_System\smpe-log\src\main\java\marchsoft\service\impl                                                                                                                   |          1 |        154 |         85 |         19 |        258 |
| Expert_System\smpe-log\src\main\java\marchsoft\service\mapstruct                                                                                                              |          1 |         10 |          4 |          3 |         17 |
| Expert_System\smpe-system                                                                                                                                                     |        143 |      7,147 |      3,495 |      1,547 |     12,189 |
| Expert_System\smpe-system (Files)                                                                                                                                             |          1 |         80 |         11 |         16 |        107 |
| Expert_System\smpe-system\src                                                                                                                                                 |        142 |      7,067 |      3,484 |      1,531 |     12,082 |
| Expert_System\smpe-system\src\main                                                                                                                                            |        132 |      6,655 |      3,365 |      1,418 |     11,438 |
| Expert_System\smpe-system\src\main\java                                                                                                                                       |        123 |      6,145 |      3,181 |      1,353 |     10,679 |
| Expert_System\smpe-system\src\main\java\marchsoft                                                                                                                             |        123 |      6,145 |      3,181 |      1,353 |     10,679 |
| Expert_System\smpe-system\src\main\java\marchsoft (Files)                                                                                                                     |          1 |         27 |         14 |          8 |         49 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules                                                                                                                     |        122 |      6,118 |      3,167 |      1,345 |     10,630 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app                                                                                                                 |         26 |        776 |        162 |        189 |      1,127 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app\controller                                                                                                      |          4 |        227 |         24 |         36 |        287 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app\entity                                                                                                          |         13 |        238 |         24 |         76 |        338 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app\entity (Files)                                                                                                  |          3 |        116 |         24 |         42 |        182 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app\entity\bo                                                                                                       |          3 |         47 |          0 |          9 |         56 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app\entity\dto                                                                                                      |          1 |          3 |          0 |          3 |          6 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app\entity\vo                                                                                                       |          6 |         72 |          0 |         22 |         94 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app\mapper                                                                                                          |          3 |         72 |         28 |         23 |        123 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app\service                                                                                                         |          6 |        239 |         86 |         54 |        379 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app\service (Files)                                                                                                 |          3 |         40 |         32 |         20 |         92 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\app\service\impl                                                                                                    |          3 |        199 |         54 |         34 |        287 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\business                                                                                                            |          1 |         20 |          7 |          6 |         33 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\business\controller                                                                                                 |          1 |         20 |          7 |          6 |         33 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\generator                                                                                                           |          1 |        141 |        101 |         27 |        269 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz                                                                                                              |         14 |        732 |        324 |        166 |      1,222 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\config                                                                                                       |          2 |         61 |         31 |         16 |        108 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\controller                                                                                                   |          1 |         95 |          5 |         16 |        116 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\entity                                                                                                       |          3 |        113 |         27 |         45 |        185 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\entity (Files)                                                                                               |          2 |         98 |         22 |         36 |        156 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\entity\dto                                                                                                   |          1 |         15 |          5 |          9 |         29 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\mapper                                                                                                       |          2 |         10 |         10 |          8 |         28 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\service                                                                                                      |          2 |        216 |        140 |         41 |        397 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\service (Files)                                                                                              |          1 |         24 |        113 |         19 |        156 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\service\impl                                                                                                 |          1 |        192 |         27 |         22 |        241 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\task                                                                                                         |          1 |         16 |          5 |          4 |         25 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\quartz\utils                                                                                                        |          3 |        221 |        106 |         36 |        363 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\security                                                                                                            |         18 |        965 |        476 |        175 |      1,616 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\security\config                                                                                                     |          5 |        264 |        167 |         40 |        471 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\security\config (Files)                                                                                             |          1 |        155 |         81 |         11 |        247 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\security\config\bean                                                                                                |          4 |        109 |         86 |         29 |        224 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\security\controller                                                                                                 |          2 |        196 |         27 |         20 |        243 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\security\entity                                                                                                     |          3 |        100 |         43 |         39 |        182 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\security\entity\dto                                                                                                 |          3 |        100 |         43 |         39 |        182 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\security\security                                                                                                   |          5 |        217 |        153 |         44 |        414 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\security\service                                                                                                    |          3 |        188 |         86 |         32 |        306 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system                                                                                                              |         59 |      3,367 |      2,052 |        750 |      6,169 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\controller                                                                                                   |          5 |        562 |         79 |         81 |        722 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\entity                                                                                                       |         29 |        759 |        219 |        338 |      1,316 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\entity (Files)                                                                                               |          5 |        309 |         40 |         89 |        438 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\entity\bo                                                                                                    |          4 |         58 |         24 |         28 |        110 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\entity\dto                                                                                                   |         17 |        357 |        142 |        197 |        696 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\entity\vo                                                                                                    |          3 |         35 |         13 |         24 |         72 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\mapper                                                                                                       |          5 |        349 |        314 |         63 |        726 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\service                                                                                                      |         20 |      1,697 |      1,440 |        268 |      3,405 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\service (Files)                                                                                              |          6 |        141 |        602 |        100 |        843 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\service\impl                                                                                                 |          6 |      1,481 |        806 |        143 |      2,430 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\system\service\mapstruct                                                                                            |          8 |         75 |         32 |         25 |        132 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\upload                                                                                                              |          3 |        117 |         45 |         32 |        194 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\upload\controller                                                                                                   |          1 |         70 |         10 |         13 |         93 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\upload\service                                                                                                      |          2 |         47 |         35 |         19 |        101 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\upload\service (Files)                                                                                              |          1 |          7 |         20 |          9 |         36 |
| Expert_System\smpe-system\src\main\java\marchsoft\modules\upload\service\impl                                                                                                 |          1 |         40 |         15 |         10 |         65 |
| Expert_System\smpe-system\src\main\resources                                                                                                                                  |          9 |        510 |        184 |         65 |        759 |
| Expert_System\smpe-system\src\main\resources (Files)                                                                                                                          |          2 |         25 |          4 |         12 |         41 |
| Expert_System\smpe-system\src\main\resources\config                                                                                                                           |          4 |        310 |        147 |         35 |        492 |
| Expert_System\smpe-system\src\main\resources\logback                                                                                                                          |          3 |        175 |         33 |         18 |        226 |
| Expert_System\smpe-system\src\test                                                                                                                                            |         10 |        412 |        119 |        113 |        644 |
| Expert_System\smpe-system\src\test\java                                                                                                                                       |         10 |        412 |        119 |        113 |        644 |
| Expert_System\smpe-system\src\test\java\marchsoft                                                                                                                             |         10 |        412 |        119 |        113 |        644 |
| Expert_System\smpe-system\src\test\java\marchsoft\log                                                                                                                         |          1 |         19 |         12 |          6 |         37 |
| Expert_System\smpe-system\src\test\java\marchsoft\mybatis                                                                                                                     |          5 |        191 |         53 |         42 |        286 |
| Expert_System\smpe-system\src\test\java\marchsoft\service                                                                                                                     |          2 |        122 |         20 |         37 |        179 |
| Expert_System\smpe-system\src\test\java\marchsoft\utils                                                                                                                       |          2 |         80 |         34 |         28 |        142 |
| Expert_System\sql                                                                                                                                                             |          2 |        618 |        180 |         57 |        855 |
| Expert_System_web                                                                                                                                                             |        156 |      4,314 |        591 |        503 |      5,408 |
| Expert_System_web (Files)                                                                                                                                                     |         10 |        547 |         14 |         47 |        608 |
| Expert_System_web\public                                                                                                                                                      |          1 |         14 |          1 |          1 |         16 |
| Expert_System_web\src                                                                                                                                                         |        145 |      3,753 |        576 |        455 |      4,784 |
| Expert_System_web\src (Files)                                                                                                                                                 |          2 |         41 |         39 |         12 |         92 |
| Expert_System_web\src\api                                                                                                                                                     |         13 |        426 |         18 |         83 |        527 |
| Expert_System_web\src\api (Files)                                                                                                                                             |          2 |         47 |          1 |          8 |         56 |
| Expert_System_web\src\api\monitor                                                                                                                                             |          1 |         19 |          0 |          4 |         23 |
| Expert_System_web\src\api\officalAccount                                                                                                                                      |          1 |         28 |          0 |          8 |         36 |
| Expert_System_web\src\api\system                                                                                                                                              |          9 |        332 |         17 |         63 |        412 |
| Expert_System_web\src\assets                                                                                                                                                  |        101 |        915 |         47 |        155 |      1,117 |
| Expert_System_web\src\assets\icons                                                                                                                                            |         81 |         90 |         15 |         10 |        115 |
| Expert_System_web\src\assets\icons (Files)                                                                                                                                    |          2 |         11 |         15 |          8 |         34 |
| Expert_System_web\src\assets\icons\svg                                                                                                                                        |         79 |         79 |          0 |          2 |         81 |
| Expert_System_web\src\assets\officalAccount                                                                                                                                   |         11 |        126 |          0 |          1 |        127 |
| Expert_System_web\src\assets\styles                                                                                                                                           |          9 |        699 |         32 |        144 |        875 |
| Expert_System_web\src\components                                                                                                                                              |          4 |        705 |        186 |         28 |        919 |
| Expert_System_web\src\components\Crud                                                                                                                                         |          1 |        670 |        186 |         15 |        871 |
| Expert_System_web\src\components\IconSelect                                                                                                                                   |          1 |          7 |          0 |          5 |         12 |
| Expert_System_web\src\components\Permission                                                                                                                                   |          2 |         28 |          0 |          8 |         36 |
| Expert_System_web\src\layout                                                                                                                                                  |          3 |         69 |          4 |          6 |         79 |
| Expert_System_web\src\layout\components                                                                                                                                       |          2 |         29 |          2 |          2 |         33 |
| Expert_System_web\src\layout\components (Files)                                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| Expert_System_web\src\layout\components\Sidebar                                                                                                                               |          1 |         24 |          2 |          1 |         27 |
| Expert_System_web\src\layout\mixin                                                                                                                                            |          1 |         40 |          2 |          4 |         46 |
| Expert_System_web\src\mixins                                                                                                                                                  |          1 |        257 |         80 |          2 |        339 |
| Expert_System_web\src\router                                                                                                                                                  |          2 |        124 |          6 |         10 |        140 |
| Expert_System_web\src\store                                                                                                                                                   |          8 |        412 |         21 |         46 |        479 |
| Expert_System_web\src\store (Files)                                                                                                                                           |          2 |         40 |          4 |          7 |         51 |
| Expert_System_web\src\store\modules                                                                                                                                           |          6 |        372 |         17 |         39 |        428 |
| Expert_System_web\src\utils                                                                                                                                                   |         11 |        804 |        175 |        113 |      1,092 |
| py                                                                                                                                                                            |          3 |        259 |         40 |         63 |        362 |
| py (Files)                                                                                                                                                                    |          1 |        121 |         32 |         17 |        170 |
| py\train                                                                                                                                                                      |          2 |        138 |          8 |         46 |        192 |
| web                                                                                                                                                                           |         27 |      1,396 |         90 |        226 |      1,712 |
| web (Files)                                                                                                                                                                   |          6 |        224 |          0 |         19 |        243 |
| web\css                                                                                                                                                                       |          8 |        209 |         14 |        148 |        371 |
| web\fonts                                                                                                                                                                     |          1 |        288 |          0 |          0 |        288 |
| web\js                                                                                                                                                                        |         12 |        675 |         76 |         59 |        810 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                      | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\.idea\Fruit_Tree_Diseases_and_Pests_Expert_System.iml                                                        | XML             |          8 |          0 |          0 |          8 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\.idea\encodings.xml                                                                                          | XML             |          4 |          0 |          0 |          4 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\.idea\inspectionProfiles\Project_Default.xml                                                                 | XML             |         14 |          0 |          0 |         14 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\.idea\inspectionProfiles\profiles_settings.xml                                                               | XML             |          6 |          0 |          0 |          6 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\.idea\misc.xml                                                                                               | XML             |          4 |          0 |          0 |          4 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\.idea\modules.xml                                                                                            | XML             |          8 |          0 |          0 |          8 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\.idea\vcs.xml                                                                                                | XML             |          7 |          0 |          0 |          7 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\.github\ISSUE_TEMPLATE\ISSUE_TEMPLATE_BUG.md                                                   | Markdown        |          8 |          0 |         13 |         21 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\.github\ISSUE_TEMPLATE\ISSUE_TEMPLATE_PULL_REQUEST.md                                          | Markdown        |          8 |          0 |         13 |         21 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\.github\ISSUE_TEMPLATE\ISSUE_TEMPLATE_SUGGESTION.md                                            | Markdown        |          6 |          0 |         10 |         16 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\Dockerfile                                                                                     | Docker          |          8 |          0 |          1 |          9 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\README.en.md                                                                                   | Markdown        |         25 |          0 |         12 |         37 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\README.md                                                                                      | Markdown        |         95 |          0 |         21 |        116 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\pom.xml                                                                                        | XML             |        223 |         26 |         27 |        276 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-admin.conf                                                                                | Properties      |         34 |         10 |         12 |         56 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-admin.sh                                                                                  | Shell Script    |        112 |         27 |         21 |        160 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\pom.xml                                                                            | XML             |        126 |         25 |         23 |        174 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\annotation\AnonymousAccess.java                            | Java            |          8 |          6 |          4 |         18 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\annotation\Limit.java                                      | Java            |         16 |         12 |         11 |         39 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\annotation\Queries.java                                    | Java            |          8 |         10 |          5 |         23 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\annotation\Query.java                                      | Java            |         11 |         14 |          6 |         31 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\annotation\rest\AnonymousDeleteMapping.java                | Java            |         27 |          6 |         12 |         45 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\annotation\rest\AnonymousGetMapping.java                   | Java            |         27 |         29 |         12 |         68 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\annotation\rest\AnonymousPostMapping.java                  | Java            |         27 |         27 |         12 |         66 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\annotation\rest\AnonymousPutMapping.java                   | Java            |         27 |         27 |         12 |         66 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\aspect\LimitAspect.java                                    | Java            |         73 |          9 |         10 |         92 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\aspect\MybatisAspectj.java                                 | Java            |         25 |         20 |          6 |         51 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\aspect\QueryAspect.java                                    | Java            |        110 |         38 |          7 |        155 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\base\BaseDTO.java                                          | Java            |         16 |         10 |         10 |         36 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\base\BaseMapStruct.java                                    | Java            |          8 |         30 |          6 |         44 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\base\BasicMapper.java                                      | Java            |          7 |         16 |          6 |         29 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\base\BasicModel.java                                       | Java            |         53 |         26 |         13 |         92 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\base\BasicServiceImpl.java                                 | Java            |         19 |         25 |          8 |         52 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\base\IBasicService.java                                    | Java            |          6 |         16 |          7 |         29 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\base\PageVO.java                                           | Java            |         49 |         35 |         12 |         96 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\config\GlobalCorsConfig.java                               | Java            |         27 |         14 |          4 |         45 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\config\JacksonCustomizerConfig.java                        | Java            |         67 |         42 |         10 |        119 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\config\PermissionConfig.java                               | Java            |         15 |         14 |          5 |         34 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\config\RedisConfig.java                                    | Java            |        143 |         36 |         24 |        203 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\config\SwaggerConfig.java                                  | Java            |         87 |          6 |         16 |        109 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\config\bean\AsyncTaskProperties.java                       | Java            |         13 |          9 |          7 |         29 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System\smpe-common\src\main\java\marchsoft\config\bean\FileProperties.java                            | Java            |         12 |          9 |          7 |         28 |
